zip,median_income
10454,27500
10453,35482
11239,35675
10456,35676
10460,36067
10455,36701
10451,37111
10452,37854
10029,38308
10459,39276
11212,40060
10035,40556
10474,41279
11224,41449
10458,42107
10030,42738
10472,43125
10457,44911
10002,46525
10468,46624
10467,47806
10039,48792
11692,49507
10473,50609
10037,51250
11355,53700
11207,55419
11219,55685
10032,56588
11691,57027
11206,57280
11208,59988
11235,61689
11233,62034
11213,62040
10475,62383
11354,62833
10462,63460
11223,63950
10040,64022
11220,64201
10027,64220
11214,64286
10461,65023
10031,65067
10466,66328
11204,67588
11693,67829
11203,68028
11230,69522
10034,69786
11433,71177
11373,71470
10304,71506
11368,71798
11229,72556
10463,72952
11377,73292
10026,74140
11370,74895
11432,75395
10033,75585
11367,75804
10469,76018
10302,76089
11434,76668
11372,77133
10303,79429
11435,79430
11369,80577
11228,80737
11423,80870
11226,81084
10470,81134
11237,82570
11236,82813
11210,83261
11104,84716
11378,84762
11418,84927
10301,84937
11428,84977
11221,85122
11225,85201
11365,85375
11416,85544
11106,85573
11436,86104
10305,86294
11417,86330
11374,86333
11205,86753
11385,87365
11232,87517
10009,87963
11415,88632
11358,88729
11421,89439
10465,90255
11419,91231
11356,91445
11427,92129
11379,92509
11209,92656
11103,92787
11234,94434
11216,95000
11218,95916
10306,97746
11357,97754
11414,98209
11429,98232
11412,98418
11420,98584
10036,100225
11360,100250
11105,100306
10464,100306
11364,101222
11102,102996
11694,103792
11375,104319
10314,104655
11211,105183
10310,106118
11426,107591
11361,108391
11422,108519
10471,108738
10025,109195
11004,109865
11363,110833
10312,111434
11413,114766
10038,115121
11101,116807
11366,117402
11411,118393
11362,118989
10019,121835
10308,122654
10001,123393
10309,123638
11222,123963
10012,130938
10017,132518
11238,132957
10018,133042
11697,134844
11231,138485
10307,138807
10075,146556
10011,146571
10128,148705
10016,153065
10003,153750
10010,156127
10021,156712
10023,157866
11217,158314
10013,159474
10065,160938
10014,167254
10028,168125
11201,169285
10022,171038
11215,180773
10024,182614
11109,198773
10280,206250
10006,209972
10005,211810
10004,220592
10069,226151
10007,250001
10282,250001
